2022-03-07 11:51:21 ERROR MarsRoverApplication:74 - Position Input Invalid!
2022-03-07 14:34:51 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 14:38:16 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 14:38:16 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 14:39:10 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 14:39:10 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 14:45:08 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 14:45:24 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 14:47:28 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 14:47:45 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 14:47:45 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 14:47:45 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 15:34:34 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 15:34:34 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 15:34:34 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 15:38:29 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 15:38:29 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 15:38:29 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 15:59:58 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 15:59:58 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
2022-03-07 15:59:58 ERROR RoverRobotPositionValidator:24 - Position Values invalid!
